"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FTX",1.4047910866121e-229,0.85253851946152,0.783,0.738,3.38765370536508e-225,"2","FTX"
"NAV3",6.31625675890035e-229,1.6734878783341,0.345,0.147,1.52316531740882e-224,"2","NAV3"
"FBXL7",4.28119627528113e-216,1.12220586072917,0.708,0.63,1.03241048178404e-211,"2","FBXL7"
"ARHGAP21",4.95086385398386e-204,1.4018693481182,0.399,0.202,1.19390081838821e-199,"2","ARHGAP21"
"EVA1C",5.63745620326504e-200,1.5828878884234,0.537,0.374,1.35947256341736e-195,"2","EVA1C"
"NEAT1",1.29882999240765e-199,0.7858367482688,0.936,0.913,3.13212852669104e-195,"2","NEAT1"
"OSMR-AS1",1.60697812522127e-190,1.2732737330618,0.297,0.124,3.87522774897109e-186,"2","OSMR-AS1"
"YBX3",1.91648953023427e-184,1.20767395526258,0.267,0.103,4.62161450215995e-180,"2","YBX3"
"GABARAPL1",1.23138889298191e-181,1.22020411635216,0.256,0.098,2.96949431542588e-177,"2","GABARAPL1"
"LIFR",2.55747384033472e-177,1.0726558380683,0.267,0.104,6.16734816596718e-173,"2","LIFR"
"B4GALT5",5.38799411357101e-168,1.14518873417683,0.255,0.101,1.29931478048765e-163,"2","B4GALT5"
"PHACTR1",2.8724096811848e-165,0.928630216728216,0.252,0.097,6.92681594617715e-161,"2","PHACTR1"
"SIPA1L1",3.65222923493971e-161,1.04736896710422,0.708,0.695,8.80735080005712e-157,"2","SIPA1L1"
"ME1",3.42989332083643e-158,1.18417177563034,0.268,0.114,8.27118774319706e-154,"2","ME1"
"ROCK2",4.27857350328627e-152,1.22753954167432,0.365,0.2,1.03177800031748e-147,"2","ROCK2"
"NBL1",1.3092058545913e-149,1.26568871650067,0.297,0.14,3.15714991834693e-145,"2","NBL1"
"PARD3",1.14798558581334e-147,0.868343730908149,0.673,0.6,2.76836724018887e-143,"2","PARD3"
