"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TTC37",9.11407967353845e-11,1.070986236234,0.424,0.157,1.85070501850872e-06,"14","TTC37"
"RPLP06",9.44087469701048e-11,0.6237934202169,0.88,0.884,1.91706401597495e-06,"14","RPLP0"
"SDE2",9.59192020030945e-11,0.926816807723874,0.424,0.153,1.94773531587484e-06,"14","SDE2"
"KMT2B",9.63572534829485e-11,0.978565384539964,0.413,0.147,1.95663038922475e-06,"14","KMT2B"
"BRK15",1.01367997130905e-10,0.863707383708578,0.761,0.433,2.05837854974015e-06,"14","BRK1"
"GNAQ5",1.03747489549721e-10,0.920599527590294,0.685,0.312,2.10669652279663e-06,"14","GNAQ"
"CLMN2",1.03934293286626e-10,1.87069388275498,0.261,0.077,2.11048975947823e-06,"14","CLMN"
"ZCRB1",1.0990324201705e-10,0.930591982879245,0.38,0.129,2.23169523239822e-06,"14","ZCRB1"
"UBC5",1.11632000565683e-10,0.682144958506619,0.935,0.879,2.26679940348676e-06,"14","UBC"
"GUK14",1.13045957829856e-10,0.860514647342742,0.804,0.54,2.29551121969306e-06,"14","GUK1"
"USP113",1.21177988815781e-10,0.762391891160013,0.478,0.181,2.46064024089324e-06,"14","USP11"
"UBA5",1.22591234353117e-10,0.877512788579615,0.348,0.113,2.48933760477439e-06,"14","UBA5"
"NFATC2IP",1.22826308967253e-10,0.799904207512907,0.478,0.18,2.49411102988905e-06,"14","NFATC2IP"
"GSTM2",1.2317053697366e-10,1.43780080103942,0.283,0.085,2.50110092378715e-06,"14","GSTM2"
"PCM12",1.2635015053329e-10,0.82459554971689,0.815,0.428,2.56566615672899e-06,"14","PCM1"
"FAAP203",1.26811825109958e-10,0.81274752573379,0.663,0.298,2.57504092068281e-06,"14","FAAP20"
"MORF4L22",1.32719328015869e-10,0.88852126062162,0.707,0.32,2.69499867469024e-06,"14","MORF4L2"
"NDUFS42",1.48991838784857e-10,0.824074412423683,0.478,0.183,3.0254282783653e-06,"14","NDUFS4"
"NOP583",1.51662974704048e-10,0.889513837026773,0.75,0.373,3.07966836434039e-06,"14","NOP58"
"TXNL4A4",1.60492475908678e-10,0.794224982422748,0.739,0.374,3.25896021580162e-06,"14","TXNL4A"
"PTCH2",1.82365228577379e-10,1.06628800177688,0.25,0.07,3.70310833149225e-06,"14","PTCH2"
