"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NAA16",4.30430161743537,-0.148762336760015,0.867635107089038,-0.171457258407997,0.863864235570161,0.99961583089597
"MBTD1",4.22103666072303,-0.148802257795924,0.877703551418632,-0.169535895753657,0.865375140264473,0.99961583089597
"TXNDC15",1.85911788138685,-0.14901840381706,1.29392677703275,-0.115167570887428,0.908312302290161,0.99961583089597
"KANTR",3.12527094238769,-0.14953153216422,0.891139691900503,-0.167798083199862,0.866742130504191,0.99961583089597
"ZNF559",2.4922457501373,-0.149802485957857,0.990545322909913,-0.151232338887618,0.879792440922301,0.99961583089597
"HERPUD2",3.24118629651452,-0.150036001341854,0.901468636331417,-0.166435076379845,0.867814571926969,0.99961583089597
"SFT2D1",0.986594028595184,-0.15004471352141,1.52987610523648,-0.0980763821382888,0.921871641419126,0.99961583089597
"SEMA6A",5.87402322211184,-0.150524028432519,0.888706952456571,-0.169374199241312,0.865502316313252,0.99961583089597
"NCAPD3",1.231956560028,-0.150651465223236,1.35956488365459,-0.110808588125839,0.911768134955887,0.99961583089597
"PNISR",16.1729795369256,-0.150913486273553,0.599130076170731,-0.251887682284453,0.801127880796451,0.99961583089597
"TRAFD1",2.14135381437125,-0.151177429213664,1.53211247313455,-0.0986725399502621,0.921398272385327,0.99961583089597
"ATP5MG",2.81813360782477,-0.1512714550219,1.02484508323749,-0.147604215989438,0.882655127672238,0.99961583089597
"EHD2",4.53832378570427,-0.151610278779732,0.970187015467855,-0.156269127871826,0.875820889741527,0.99961583089597
"MYADM",2.36689919085765,-0.151721544904282,1.14288706161141,-0.132752876465643,0.894388823528158,0.99961583089597
"RABGAP1L",22.8644322412545,-0.151831464716438,0.412565209995379,-0.368018100018998,0.712859738014925,0.99961583089597
"AL050309.1",7.65561074351334,-0.151837734464059,0.677861316563216,-0.223995278612271,0.822760977024354,0.99961583089597
"NUPR1",1.91240910280832,-0.151868995937299,1.31597203999699,-0.11540442450255,0.908124572149988,0.99961583089597
"CHD7",3.29910300190264,-0.152323919865327,0.937103775641211,-0.16254754684037,0.870874689124102,0.99961583089597
"TOX",5.2419285414708,-0.152367098640609,0.841983328677007,-0.180962132445093,0.856397299165551,0.99961583089597
"PMS1",2.20979548785667,-0.152671276318313,1.25637708293942,-0.121517081449085,0.903281485920945,0.99961583089597
"ATP2A2",10.2566713034273,-0.152705182913128,0.662032530280191,-0.230661147192418,0.81757805964606,0.99961583089597
"CADM2",26.9408620052233,-0.152821652689196,0.84601200430412,-0.180637688249941,0.856651971533856,0.99961583089597
"IKZF5",1.57143104843382,-0.152895118248495,1.23945006509404,-0.123357223138226,0.901824229281798,0.99961583089597
"POT1",4.31206203508759,-0.152909565965999,0.921457985329659,-0.165943068919517,0.868201753248061,0.99961583089597
"KIAA1211L",0.896713881962224,-0.152976638764046,2.14414023741496,-0.0713463774871735,0.943122085349861,0.99961583089597
"NCOA2",20.1090923202552,-0.153004734767087,0.559938740611572,-0.273252632243258,0.784659024129404,0.99961583089597
"NUDT15",0.322634937290357,-0.153161428882871,2.27780162611851,-0.0672408989117572,0.946389926159451,0.99961583089597
"LINC02691",0.322634937290357,-0.153161428882871,2.27780162611851,-0.0672408989117572,0.946389926159451,0.99961583089597
